,GroupSize,Maximal Similarity,Maximal Similarity(Refined) 
143,145,0.552971576227,0.973684210526
144,146,0.713251767288,0.713251767288
145,147,0.401338671728,0.487164960414
146,148,0.415938547194,0.415938547194
147,149,0.497199905396,1.0
148,150,0.318081869245,0.318081869245
149,151,0.215184088195,0.215184088195
150,152,0.672990838347,0.672990838347
151,153,0.5,0.5
152,154,0.338450889637,0.412179728724
153,155,0.435305902896,0.435305902896
154,156,0.668612797931,0.668612797931
155,157,0.760579710865,0.760579710865
156,158,0.35573513769,0.35573513769
157,159,0.61174822243,0.61174822243
158,160,0.192435222553,0.360386717893
159,161,0.346408623831,0.346408623831
160,162,0.412970508198,0.660047106866
161,163,0.471107194265,0.471107194265
162,164,0.582913183117,0.582913183117
163,165,0.402911985474,0.402911985474
164,166,0.606580063925,0.606580063925
165,167,0.213481967283,0.278206917364
166,168,0.217419087876,0.316232036554
167,169,0.53007518797,0.53007518797
168,170,0.425194931774,0.425194931774
169,171,0.419803102169,0.419803102169
170,172,0.502660714119,0.502660714119
171,173,0.281925881085,0.44567652329
172,174,0.584515425473,0.857142857143
173,175,0.225258816264,0.337467525304
174,176,0.195007411199,0.455310192204
175,177,0.483214658698,0.483214658698
176,178,0.333039262189,0.588942805939
177,179,0.626367854293,0.626367854293
178,180,0.466789825399,0.466789825399
179,181,0.208571136875,0.428677639377
180,182,0.335857150992,0.335857150992
181,183,0.5,0.5
182,184,0.227254842889,0.367083401066
183,185,0.376296447419,0.589192959219
184,186,0.423140823597,0.725716526371
185,187,0.188787155446,0.32190231016
186,188,0.432407385387,0.432407385387
187,189,0.200618211822,0.26974340187
188,190,0.343985171524,0.343985171524
189,191,0.398531509258,0.528120409639
190,192,0.387714988409,0.387714988409
191,193,0.455079953657,0.519573996488
192,194,0.381358821064,0.571623172153
193,195,0.5,1.0
194,196,0.296833668092,0.514144276333
195,197,0.445684030316,0.585917890689
196,198,0.321548790452,0.407034223985
197,199,0.204893969604,0.266810542789
198,200,0.287247579339,0.479393811858
199,201,0.370851436085,0.370851436085
200,202,0.400279657314,0.488971846582
201,203,0.5,0.5
202,204,0.469536130738,0.469536130738
203,205,0.354155174222,0.622767618494
204,206,0.24877390795,0.412322425194
205,207,0.303509113499,0.303509113499
206,208,0.626380844068,0.626380844068
207,209,0.146382032513,0.163153938346
208,210,0.692783914941,0.692783914941
209,211,0.325654787773,0.457594126612
210,212,0.320878468996,0.320878468996
211,213,0.245825567857,0.387450368232
212,214,0.237286046628,0.342204479121
213,215,0.424427798734,0.594101348398
214,216,0.296264299285,0.464922876783
215,217,0.180392744593,0.249587434656
216,218,0.246154636206,0.430576205025
217,219,0.695777646319,0.873456790123
218,220,0.378517792331,0.378517792331
219,221,0.240994822807,0.615796531215
220,222,0.153976686178,0.213982922186
221,223,0.275661403644,0.639482878595
222,224,0.19084403577,0.252978004021
223,225,0.200402659337,0.258168889934
224,226,0.341840943152,0.445123922981
225,227,0.226100463819,0.343662315363
226,228,0.373240157263,0.669601424164
227,229,0.190101651247,0.26671555835
228,230,0.20615223062,0.293954224404
229,231,0.181579750143,0.369574322458
230,232,0.270341327078,0.31778947747
231,233,0.227435097063,0.281326143815
232,234,0.339618721166,0.492270167635
233,235,0.192542079236,0.281280011601
234,236,0.160884930059,0.28727490042
235,237,0.229865402212,0.237554447816
236,238,0.371397872608,0.61868081875
237,239,0.300042955004,0.300042955004
238,240,0.237445802565,0.45446946635
239,241,0.282141542548,0.282141542548
240,242,0.244111820514,0.81508230592
241,243,0.215121833117,0.284627696732
242,244,0.220362110575,0.375642849618
243,245,0.167027981251,0.234941288411
244,246,0.317080458707,0.536118992795
245,247,0.234429437936,0.422213708807
246,248,0.168741045675,0.252070362355
247,249,0.285137249992,0.387382601374
248,250,0.204771627581,0.213159990168
249,251,0.226968130242,0.3348030042
250,252,0.260543167596,0.260543167596
251,253,0.286605389165,0.461848563067
252,254,0.228453767421,0.427219129519
253,255,0.213992252402,0.336055956146
254,256,0.224480843681,0.340528101541
255,257,0.210242654004,0.330597017322
256,258,0.9375,0.713785891774
257,259,0.289117044554,0.461670918039
258,260,0.310384470282,0.554277840052
259,261,0.182249441232,0.303559733473
260,262,0.241059772848,0.487266554308
261,263,0.614540532248,1.0
262,264,0.5,0.928571428571
263,265,0.5,0.5
264,266,0.211412572341,0.358792091218
265,267,0.125471089294,0.186514187066
266,268,0.495036684668,0.495036684668
267,269,0.164848728984,0.218787036811
268,270,0.261570324952,0.261570324952
269,271,0.249348597167,0.443554086187
270,272,0.199869585768,0.351417561741
271,273,0.432486916701,0.624067085392
