,GroupSize,Maximal Similarity,Maximal Similarity(Refined) 
63,65,0.723474915227,0.723474915227
64,66,0.48879498761,0.48879498761
65,67,0.607530183833,0.607530183833
66,68,0.388590172028,0.388590172028
67,69,0.632489433358,0.632489433358
68,70,0.730769230769,0.730769230769
69,71,0.525806140875,0.525806140875
70,72,0.914941331443,0.914941331443
71,73,0.9375,0.9375
72,74,0.293806074148,0.531120047016
73,75,0.759058543764,0.759058543764
74,76,0.614756956762,0.691506189518
75,77,0.717803420935,0.717803420935
76,78,0.523419716676,0.523419716676
77,79,0.548910379621,0.548910379621
78,80,0.30744162978,0.30744162978
79,81,0.645547918938,0.645547918938
80,82,0.581266524524,0.581266524524
81,83,0.527099760337,0.527099760337
82,84,0.306081212701,0.306081212701
83,85,0.545194088637,0.545194088637
84,86,0.428957202088,0.428957202088
85,87,0.479611448154,0.569434002786
86,88,0.432048538532,0.432048538532
87,89,0.5,0.5
88,90,0.498233231084,0.498233231084
89,91,0.399534654146,0.399534654146
90,92,0.662416991189,0.662416991189
91,93,0.520092759703,0.520092759703
92,94,0.58936332031,0.58936332031
93,95,0.289811018539,0.486116487686
94,96,0.319716466123,0.356967482388
95,97,0.258614561055,0.258614561055
96,98,0.520131429043,0.761637861386
97,99,0.397134792288,0.504173937075
98,100,0.254357734488,0.35099208658
99,101,0.434156815892,0.529022112962
100,102,0.529271913897,0.529271913897
101,103,0.296782568165,0.40618551957
102,104,0.621163673201,0.621163673201
103,105,0.23793311831,0.23793311831
104,106,0.640996816969,0.640996816969
105,107,0.394358271645,0.394358271645
106,108,0.330623120516,0.330623120516
107,109,0.19007729439,0.283019225841
108,110,0.434157934773,0.434157934773
109,111,0.379657974355,0.379657974355
110,112,0.497293695686,0.497293695686
111,113,0.37609571449,0.487021598068
112,114,0.399251223714,0.399251223714
113,115,0.5,0.5
114,116,0.370141913364,0.370141913364
115,117,0.296787242435,0.296787242435
116,118,0.358326791407,0.358326791407
117,119,0.602132789725,0.602132789725
118,120,0.718217890236,0.718217890236
119,121,0.567394362702,0.828107119939
120,122,0.278356902223,0.278356902223
121,123,0.568584080089,0.568584080089
122,124,0.41162070082,0.41162070082
123,125,0.352319558724,0.468860488442
124,126,0.364737987885,0.42316741796
125,127,0.281403758881,0.281403758881
126,128,0.401588407408,0.401588407408
127,129,0.836855034773,0.836855034773
128,130,0.394794602836,0.83923904728
129,131,0.5,0.884615384615
130,132,0.284588688198,0.483920944663
131,133,0.370175770799,0.370175770799
132,134,0.435256394527,0.435256394527
133,135,0.318548522958,0.318548522958
134,136,0.305586476723,0.470264991361
135,137,0.509745915586,0.509745915586
136,138,0.719677403561,0.719677403561
